purchase_id,customer_id,vendor_id,unit_id,product_id,date,quantity,discount,store_type,payment_method
1,125,14,3,10,2022-04-11,4,,loja fisica,débito
2,305,10,4,17,2022-03-07,4,,loja fisica,pix
3,149,13,3,35,2022-02-14,7,,loja fisica,débito
4,472,11,1,8,2022-03-29,9,,loja fisica,crédito
5,210,2,9,4,2018-04-05,10,,loja fisica,crédito
6,401,1,4,17,2019-02-26,9,,loja fisica,crédito
7,186,8,3,18,2023-04-11,9,,loja web,pix
8,474,19,8,13,2019-09-10,7,,loja fisica,crédito
9,184,3,10,35,2021-02-10,10,,loja web,pix
10,441,18,8,3,2022-03-10,3,,loja fisica,débito
11,459,14,7,37,2019-11-24,1,,loja fisica,crédito
12,315,19,4,17,2018-04-08,10,farmabr15,loja fisica,pix
13,438,13,8,31,2019-11-11,2,,loja web,débito
14,381,13,5,3,2020-03-18,8,,loja web,débito
15,434,10,1,21,2022-05-28,3,,loja fisica,débito
16,291,20,4,7,2019-01-27,9,,loja fisica,crédito
17,209,8,8,46,2020-08-04,5,,loja fisica,dinheiro
18,497,4,7,14,2022-05-01,5,,loja fisica,crédito
19,375,16,7,7,2022-12-27,7,,loja fisica,crédito
20,119,15,6,12,2021-01-24,4,,loja fisica,pix
21,275,1,9,49,2020-10-29,2,,loja web,crédito
22,67,15,1,23,2020-08-28,6,,loja fisica,crédito
23,259,12,1,44,2020-03-04,3,farmabr5,loja web,pix
24,219,12,3,31,2021-11-11,8,,loja web,pix
25,100,20,2,7,2021-08-24,10,,loja web,débito
26,237,12,3,5,2018-04-04,5,,loja fisica,débito
27,380,17,6,15,2021-04-08,4,,loja fisica,débito
28,383,7,2,18,2018-07-14,2,,loja fisica,débito
29,192,18,10,22,2020-06-13,4,,loja web,crédito
30,437,10,6,11,2019-11-01,3,,loja fisica,débito
31,125,14,7,45,2023-07-08,5,,loja web,crédito
32,44,17,6,20,2022-03-03,2,,loja web,pix
33,349,18,3,8,2023-07-14,5,,loja fisica,débito
34,397,8,7,4,2020-04-13,4,,loja fisica,débito
35,337,3,10,39,2020-06-04,5,,loja fisica,crédito
36,44,12,1,8,2019-10-30,1,,loja fisica,crédito
37,288,19,9,32,2018-05-22,5,,loja web,débito
38,491,12,3,46,2022-08-09,8,,loja fisica,débito
39,424,9,6,16,2020-12-02,1,,loja web,débito
40,25,13,7,15,2018-06-25,3,,loja web,dinheiro
41,499,11,10,38,2021-11-20,3,,loja web,crédito
42,53,12,5,28,2019-04-30,7,farmabr10,loja web,dinheiro
43,275,8,2,13,2022-01-08,9,,loja web,pix
44,71,3,10,26,2021-01-09,8,,loja fisica,débito
45,380,14,9,21,2019-03-17,4,,loja web,débito
46,414,20,9,27,2019-10-06,5,,loja web,pix
47,71,7,3,40,2019-02-06,10,,loja fisica,débito
48,3,4,7,2,2023-05-19,4,,loja fisica,dinheiro
49,149,3,6,1,2018-12-07,5,,loja web,crédito
50,95,16,9,41,2023-05-31,5,,loja fisica,crédito
51,136,18,4,17,2023-01-06,1,,loja fisica,pix
52,131,8,9,22,2021-06-20,8,,loja web,dinheiro
53,158,20,3,24,2018-04-13,1,,loja fisica,pix
54,84,7,6,2,2021-02-15,8,,loja fisica,débito
55,122,8,8,2,2021-10-03,8,,loja web,dinheiro
56,101,13,6,22,2020-08-23,9,farmabr5,loja web,dinheiro
57,424,10,2,26,2022-01-09,2,,loja web,débito
58,340,9,2,49,2018-05-07,5,,loja web,pix
59,392,4,10,14,2020-02-06,9,,loja fisica,crédito
60,277,17,7,3,2020-05-02,5,,loja fisica,dinheiro
61,230,19,10,31,2022-03-21,5,,loja web,débito
62,466,11,4,13,2021-11-17,5,,loja fisica,débito
63,37,6,4,31,2021-02-08,4,,loja fisica,débito
64,427,14,3,26,2021-04-25,9,,loja fisica,débito
65,124,10,6,49,2020-03-17,1,,loja web,dinheiro
66,43,14,1,4,2022-01-02,1,,loja fisica,pix
67,106,17,6,4,2023-05-13,9,,loja web,dinheiro
68,485,10,9,3,2022-02-23,2,,loja fisica,pix
69,339,5,3,32,2020-12-06,7,,loja fisica,pix
70,74,20,9,5,2018-07-02,9,,loja fisica,dinheiro
71,212,19,9,22,2022-09-02,6,farmabr5,loja fisica,dinheiro
72,108,1,9,7,2023-04-25,5,,loja fisica,crédito
73,339,9,3,48,2023-02-02,3,,loja fisica,crédito
74,187,9,8,30,2023-09-08,7,,loja web,débito
75,5,6,5,29,2021-04-24,2,,loja fisica,pix
76,111,11,1,11,2023-05-06,7,,loja fisica,débito
77,491,6,9,8,2018-05-07,1,,loja fisica,dinheiro
78,494,2,2,24,2019-04-21,5,,loja fisica,débito
79,443,9,2,48,2018-07-22,2,,loja web,crédito
80,394,20,1,32,2021-10-02,4,,loja fisica,crédito
81,132,17,5,34,2020-12-23,9,,loja web,dinheiro
82,232,5,1,46,2020-09-09,10,,loja web,dinheiro
83,383,19,6,24,2020-08-17,9,,loja web,crédito
84,449,17,1,27,2022-03-06,10,,loja web,crédito
85,259,5,8,47,2018-03-31,4,,loja web,dinheiro
86,10,17,7,31,2018-07-22,10,,loja web,crédito
87,206,19,6,9,2022-05-17,2,,loja web,pix
88,172,19,5,37,2022-09-27,7,,loja fisica,dinheiro
89,379,16,2,48,2021-12-26,9,,loja web,dinheiro
90,73,1,8,7,2018-03-12,6,,loja web,crédito
91,17,6,9,30,2018-09-18,6,farmabr10,loja web,pix
92,314,5,2,22,2022-03-24,9,,loja web,pix
93,424,8,6,36,2019-11-16,6,,loja web,dinheiro
94,230,17,3,44,2022-03-31,3,,loja web,débito
95,63,7,7,29,2023-08-01,2,,loja fisica,crédito
96,482,11,9,11,2021-03-26,2,,loja fisica,dinheiro
97,416,16,9,43,2022-08-06,2,,loja fisica,pix
98,187,20,6,2,2021-01-10,5,,loja web,débito
99,12,13,2,4,2018-06-06,6,,loja web,pix
100,462,16,8,1,2019-10-18,9,,loja web,dinheiro
101,202,14,6,6,2018-12-03,7,,loja fisica,crédito
102,375,18,4,34,2022-10-08,2,,loja web,pix
103,109,12,7,45,2019-07-31,1,,loja fisica,débito
104,482,10,1,30,2018-07-20,4,,loja fisica,débito
105,376,7,6,23,2022-05-08,2,,loja web,dinheiro
106,442,13,2,38,2018-03-13,7,,loja web,débito
107,208,1,6,7,2021-06-25,5,,loja web,crédito
108,70,8,3,17,2020-03-10,3,,loja web,crédito
109,421,14,2,39,2018-07-27,7,,loja fisica,débito
110,49,19,5,29,2020-06-30,5,,loja web,dinheiro
111,399,20,3,24,2020-04-12,8,,loja web,crédito
